,class,score,x-min,y-min,x-max,y-max
0,sentence,[0.9998858],191.5015,1510.6251,344.98657,1568.4028
1,sentence,[0.9998758],1132.4094,1505.7358,1263.7295,1559.608
2,sentence,[0.99983335],256.00455,2165.6963,461.51553,2234.9124
3,sentence,[0.99979085],1273.2723,2125.22,2026.0122,2197.4968
4,sentence,[0.9997651],1058.1775,1139.7714,1772.0793,1204.1426
5,diagram,[0.9997485],1081.4866,1179.3976,1814.6777,1705.035
6,sentence,[0.9995735],1310.9315,2210.6392,1875.9211,2282.2708
7,sentence,[0.9995679],440.7001,1891.837,572.6663,1944.8486
8,sentence,[0.9995153],478.43884,2385.8977,948.39667,2453.2434
9,sentence,[0.99945277],88.37847,1140.2743,864.80707,1203.6287
10,sentence,[0.9994282],972.0957,603.364,1227.2144,651.5382
11,sentence,[0.99930274],531.1983,508.53827,743.12787,581.6478
12,diagram,[0.9992924],78.662,453.2137,1364.8658,988.4594
13,sentence,[0.99927586],863.0664,2468.3892,1305.0493,2530.968
14,sentence,[0.9992636],1130.9098,1395.3453,1261.681,1436.8578
15,sentence,[0.9992488],623.53973,2797.1855,1190.4663,2857.1226
16,sentence,[0.9992023],94.5679,1059.1716,531.2325,1126.4995
17,sentence,[0.9991617],95.69651,395.1582,595.8635,458.93134
18,sentence,[0.9991586],598.5533,1212.6317,658.6327,1271.7743
19,sentence,[0.99908006],1126.6609,1231.6401,1290.9716,1355.6373
20,sentence,[0.99904674],1117.9736,1630.8289,1186.5216,1693.6205
21,sentence,[0.9988611],647.5135,672.84625,839.1173,722.5639
22,sentence,[0.99884367],981.6179,838.4838,1281.3208,903.3484
23,sentence,[0.99883157],149.53719,654.21826,373.9098,715.90906
24,sentence,[0.99881494],76.2951,2058.9153,490.66327,2118.0417
25,sentence,[0.99879104],434.52103,1656.6058,584.93774,1772.1917
26,sentence,[0.99866617],547.5357,1314.4735,704.5789,1442.4541
27,sentence,[0.9986223],1498.8308,1298.3485,1789.4672,1357.358
28,sentence,[0.9985442],436.18655,1814.0723,572.6308,1853.7506
29,sentence,[0.99837375],746.6396,2542.6099,1117.5126,2615.5598
30,sentence,[0.9982981],1702.5125,2300.9265,1945.0868,2353.3176
31,sentence,[0.99812895],554.26465,1481.6942,702.0961,1526.6837
32,sentence,[0.9979705],159.1754,847.40405,385.2108,914.0905
33,sentence,[0.9978047],1411.4784,1468.7063,1720.1837,1528.68
34,sentence,[0.9977259],1013.6734,487.08865,1262.2351,541.334
35,sentence,[0.9975038],95.28378,2391.4082,394.71146,2454.5059
36,block,[0.9973068],169.16202,2617.5127,1310.4578,2788.5593
37,sentence,[0.99691653],1451.3252,2554.4768,1553.4185,2610.444
38,sentence,[0.99658525],1551.2041,2660.6006,1740.0544,2718.9531
39,sentence,[0.99651897],1556.8367,1387.5795,1687.8517,1430.4073
40,sentence,[0.99639785],168.20284,2570.561,643.6514,2624.9897
41,sentence,[0.9953798],207.07645,1632.2877,290.92844,1709.463
42,diagram,[0.9952838],152.28741,1157.4886,762.56006,1957.7223
43,sentence,[0.9951815],507.32455,890.30396,740.0845,950.28424
44,sentence,[0.99506676],175.08904,2797.826,532.5316,2873.0925
45,sentence,[0.9946345],210.1028,1400.3403,345.2054,1439.6735
46,sentence,[0.99444026],547.6729,1557.5643,684.0762,1609.9746
47,sentence,[0.9912348],196.2401,1237.4208,374.19696,1360.522
48,sentence,[0.9907199],246.54713,2716.1052,1113.5662,2793.9487
49,block,[0.9868089],1190.0801,2109.7356,2009.0593,2293.5696
50,sentence,[0.98663354],1487.6665,1640.3815,1630.37,1691.6875
51,sentence,[0.98631555],876.35706,2868.6855,1580.7098,2943.1575
52,sentence,[0.9764143],1480.2745,1557.1654,1637.2424,1601.6703
53,sentence,[0.97391486],1217.1035,2222.9253,1248.711,2270.719
54,sentence,[0.9710534],1809.247,2057.6233,1995.7616,2109.6843
55,formula,[0.9482326],158.82193,2487.1252,762.05414,2550.1746
56,sentence,[0.9427022],197.8203,2867.2444,797.45374,2945.2478
57,sentence,[0.9297902],190.65173,2635.0137,1345.2972,2717.1714
58,sentence,[0.8938362],1219.2626,2134.0847,1244.7377,2184.2222
59,formula,[0.89288354],254.47418,2134.1082,1070.7369,2293.3462
60,formula,[0.8674247],229.62367,2637.0352,1341.9891,2715.532
61,formula,[0.8384652],556.5044,2141.0774,978.40247,2290.1162
62,line,[0.7844371],877.4741,2870.9749,1589.5232,2949.8064
63,sentence,[0.7034114],477.23157,2388.068,708.48425,2446.6997
64,sentence,[0.6023007],637.05035,2870.8162,799.6104,2938.296
