,class,score,x-min,y-min,x-max,y-max
0,sentence,[0.9998097],1027.6775,2123.1162,1383.6046,2187.074
1,sentence,[0.9997973],552.21814,1143.2262,707.192,1187.6555
2,sentence,[0.99971026],993.4298,2044.319,1786.1555,2108.518
3,diagram,[0.9996997],98.542534,399.11404,1484.6729,845.0347
4,sentence,[0.99953604],634.4746,2379.8772,839.81775,2438.7625
5,sentence,[0.99950373],838.4614,998.2106,1128.3158,1047.3567
6,sentence,[0.99945265],811.8677,886.7822,2004.7015,951.71814
7,sentence,[0.99938464],525.8402,1223.6384,748.44025,1278.372
8,sentence,[0.99922097],742.5486,1550.0272,1298.6729,1613.6527
9,sentence,[0.9991769],226.15955,1641.5032,445.12183,1693.0643
10,sentence,[0.9990483],1380.768,661.77234,1453.2773,699.90485
11,sentence,[0.9990295],101.220474,383.77066,346.3649,449.96802
12,sentence,[0.99897194],619.91003,1625.119,869.90674,1688.0411
13,pen,[0.99896646],1075.8843,676.0681,1272.0411,715.57794
14,sentence,[0.9989599],527.5807,1304.6831,764.4234,1360.7502
15,pen,[0.9988537],495.90332,590.52295,689.2825,630.70374
16,sentence,[0.9988317],1243.6519,1799.7125,1484.5352,1857.4984
17,sentence,[0.99877805],538.5913,979.72705,745.03046,1027.8224
18,diagram,[0.9987565],75.61464,1546.0209,1575.0754,2175.483
19,diagram,[0.9987562],109.37869,2331.685,1246.7147,2949.1995
20,sentence,[0.998755],862.59503,740.8282,1230.0223,807.0601
21,sentence,[0.9987484],155.89523,503.04556,410.14035,561.5579
22,sentence,[0.99862516],207.56151,2722.2278,270.786,2767.8928
23,sentence,[0.9985843],164.94586,895.68646,783.47815,953.3719
24,sentence,[0.9984875],51.437183,1732.0515,343.78687,1781.786
25,sentence,[0.9984779],393.4351,1833.4282,621.43536,1879.7344
26,sentence,[0.9984616],989.8671,2639.9053,1178.6598,2684.3516
27,sentence,[0.9983569],164.76889,2215.0024,541.0616,2276.7246
28,sentence,[0.9981604],924.8325,503.28583,1258.1805,562.7057
29,sentence,[0.9980331],149.84052,2559.1956,354.87503,2605.9087
30,sentence,[0.99781644],692.6502,2648.3833,865.1528,2686.9456
31,sentence,[0.99770194],331.2222,2478.7205,539.7966,2520.977
32,sentence,[0.9976356],159.14848,2382.2517,365.0197,2433.5464
33,pen,[0.9975733],513.6438,486.17276,647.2267,531.6878
34,sentence,[0.9975631],170.7562,1466.5375,788.6765,1532.791
35,sentence,[0.9968556],193.38635,1968.4521,395.18805,2023.1466
36,sentence,[0.99666685],796.9362,1310.2246,934.1381,1359.7224
37,sentence,[0.9965833],979.1682,2798.453,1250.4572,2852.2576
38,sentence,[0.99652785],1129.9323,1634.4673,1364.9309,1695.4521
39,pen,[0.9960576],459.37854,679.75946,654.85095,728.0134
40,sentence,[0.9955466],289.4719,757.3473,545.67444,825.46594
41,pen,[0.9952473],204.35123,686.3483,367.02112,730.43585
42,diagram,[0.9945792],150.86444,992.8322,1277.021,1383.7584
43,sentence,[0.9943514],1068.9639,1970.754,1441.7279,2018.8809
44,block,[0.99135673],592.5637,2489.0022,947.39056,2900.0007
45,sentence,[0.98448205],1164.953,1056.7329,1219.2401,1354.7859
46,sentence,[0.98256725],207.13327,1146.0024,241.62787,1188.1519
47,sentence,[0.97947687],202.35745,1303.8724,247.09259,1358.9628
48,sentence,[0.978632],136.80307,2869.5566,350.4028,2936.442
49,pen,[0.9741857],585.9192,405.5784,694.7443,458.31296
50,sentence,[0.9696602],206.38141,1231.7297,245.85583,1277.8185
51,sentence,[0.95720613],303.16016,1250.5763,334.80185,1360.6475
52,sentence,[0.9546712],308.5775,1088.8699,341.7722,1244.1447
53,pen,[0.93725634],816.8498,402.78616,893.4948,444.99515
