,class,score,x-min,y-min,x-max,y-max
0,sentence,[0.999892],110.10645,370.9508,667.292,434.14877
1,line,[0.9998299],1190.9918,525.7984,1416.2351,612.1456
2,sentence,[0.99978036],42.601433,700.92096,195.16191,765.2341
3,sentence,[0.9994941],792.80286,1020.4868,1606.4768,1095.4999
4,sentence,[0.9993135],57.404976,1355.0747,220.34828,1431.5374
5,sentence,[0.99912137],277.09735,1356.4315,1121.3754,1423.5122
6,block,[0.9989343],729.8615,1033.4274,2068.5579,1329.1532
7,sentence,[0.9988158],954.8784,1186.9213,2052.7998,1258.8672
8,sentence,[0.9986547],980.9382,1102.4856,2014.7607,1176.9072
9,sentence,[0.9982351],48.416023,783.6176,192.7097,844.0671
10,pen,[0.9978581],1351.5509,1287.9303,1683.7839,1337.5875
11,sentence,[0.9978295],1282.5238,611.7911,1769.8046,677.31384
12,sentence,[0.9970271],109.39556,946.35974,489.39462,1020.74194
13,sentence,[0.9967939],226.25761,691.2187,1991.1123,824.70746
14,sentence,[0.9964535],561.17596,935.65137,1285.5253,1012.1116
15,sentence,[0.9933577],762.9414,1274.403,1705.1067,1340.9102
16,sentence,[0.9908744],773.2304,523.6473,1588.6217,598.2553
17,sentence,[0.97816795],262.20166,771.2451,1398.6821,846.7586
18,sentence,[0.9605858],770.5164,440.5264,1395.1943,515.18164
19,sentence,[0.9431153],769.4232,360.94214,1994.9896,452.1326
20,sentence,[0.61141163],746.96295,365.88672,1993.179,532.4887
21,block,[0.6008372],864.79346,1089.805,2062.7288,1252.4395
